No,title,abstrak,truelabel,, 
23,IMPLEMENTASI ALGORITMA PENCOCOKAN STRING KNUTHMORRIS-PRATT DALAM APLIKASI PENCARIAN DOKUMEN DIGITAL BERBASIS ANDROID,"Pada penelitian ini dibangun sebuah aplikasi yang bertujuan untuk mencari dokumen yang berasal dari Android dan mengaplikasikannya dengan menggunakan algoritma pencocokan string sebagai salah satu cara untuk menemukan dokumen digital yang terdapat pada Android. aplikasi ini dibangun berbasis Android dengan menggunakan algoritma Pencocokan string Knuth-Morris-Pratt sebagai algoritma dalam aplikasi pencarian dokumen, dan dibangun dengan menggunakan bahasa pemrograman JAVA dengan IDE ECLIPSE JUNO, analisis perancangan sistem ini menggunakan Unified Modeling Language (UML). Dapat disimpulkan bahwa aplikasi ini dapat melakukan pencarian dokumen digital yang terdapat dalam Android dengan menggunakan algoritma Knuth-Morris-Pratt. Hasil pencarian yang ditampilkan berupa dokumen-dokumen yang tersedia dalam Android dan informasi mengenai jumlah dari dokumen yang tersedia dalam Android tersebut, serta menunjukkan bahwa algoritma Knuth-Morris-Pratt bisa digunakan dalam aplikasi pencarian dokumen pada Android.",0,,
24,Aplikasi Pengolahan Sinyal Suara pada Teknologi Kecerdasan Buatan,"Dalam konsep Kecerdasan Buatan (Artificial Intellegence), mesin dibuat untuk bisa bekerja dan berperilaku seperti manusia dengan menerapkan prinsip bahwa setiap aspek kecerdasan dapat dipelajari dan diwujudkan dalam suatu sistem. Salah satu alat komunikasi penting yang ada pada manusia adalah dengan menggunakan suara manusia atau ucapan untuk berbicara atau berkomunikasi dengan lawan bicaranya.. Pada suara manusia agar dapat dipelajari dan diwujudkan dalam suatu system, maka sinyal suara manusia perlu diolah dan diekstraksi menjadi parameter-parameter suara manusia. Karakter suara manusia yang unik dan beragam bila diolah dan diekstraksi akan memiliki parameter-parameter yang unik dan beragam pula. Ada beberapa aplikasi berbasis kecerdasan buatan yang mendukung system alat bicara ini diantaranya sistem Pengenal Ucapan (Speech Recognition) dan system Pengenal Pengucap/Pembicara (Speaker Recognition). Salah satu metoda yang akan diteliti dalam paper ini adalah metoda LPC (Linear Predictive Coding). Dengan metoda LPC maka akan dihasilkan parameter-parameter suara manusia sesuai dengan bentuk kata yang diucapkan dari beragam pembicara yang berlainan. Parameter-parameter suara manusia tersebut dapat dipelajari dan diwujudkan dalam suatu system Pengenal Ucapan sehingga dapat digunakan untuk alat kontrol atau mengendalikan suatu perangkat, misalnya perintah menghidupkan atau mematikan peralatan elektronik dan perintah-perintah lainnya. Aplikasi lainnya adalah system Pengenal Pembicara yang dapat digunakan untuk alat identifikasi pengguna, misalnya pada sistem password untuk membukanya menggunakan suara pengguna yaitu dengan cara mempelajari parameter-parameter suara pengguna yang unik sehingga system password dapat mengenalinya dan dapat membuka password.",0,,
25,Model berbasis Sistem Kecerdasan Buatan yang Efektif: Analisis Kebijakan bagi Siswa Mengulang,"Pendidikan Sekolah Dasar (SD) sangat penting dalam memberikan keterampilan dasar yang dibutuhkan siswa untuk bertahan dalam mengikuti dan memahami kelas-kelas pada jenjang di atasnya sehingga jika pondasi pendidikan SD kuat maka dapat meningkatkan kualitas pendidikan di Indonesia. Tujuan dari penelitian adalah membuat model arsitektur terbaik yang akan digunakan untuk melakukan peramalan pada jumlah siswa mengulang berdasarkan provinsi pada jenjnag Sekolah Dasar baik negeri dan swasta dengan model berbasis sistem kecerdasan buatan. Sumber data berasal dari data statistik pendidikan dengan url: http://statistik.data.kemdikbud.go.id/. Data terdiri dari 34 provinsi untuk tahun ajaran 2017/2017; 2017/2018; 2018/2019; 2019/2020. Metode solusi yang digunakan adalah back-propagation yang merupakan bagian dari sistem kecerdasan buatan dimana dalam menentukan model arsitektur terbaik dilakukan dengan menguji serangkaian arsitektur (2-5-1; 2-10-1; 2-15-1 dan 2-20-1) mengunakan fungsi aktivasi sigmoid dan parameter pendukung seperti performFcn = MSE; goal = 0.001; epochs = 10000; mc = 0.95 dan lr = 0.1. Hasil menunjukkan back-propagation dapat diterapkan untuk melakukan peramalan dengan sistem kecerdasan buatan dengan menghasilkan sebuah model arsitektur terbaik yakni 2-10-1 dengan MSE pelatihan adalah 0.00099299, koefisien korelasi (R) pelatihan adalah 0.976972 pada epoch 81, MSE pengujian adalah 0.001325, koefisien korelasi (R) pengujian dengan akurasi 85%. Fakta baru menyebutkan bahwa akurasi sangat tergantung terhadap banyaknya data. Selain harus memperhatikan MSE, epoch dan durasi waktu pelatihan. Diharapkan model arsitektur ini dapat membantu melakukan peramalan terhadap jumlah siswa mengulang pada jenjang Sekolah Dasar sehingga hasil dari peramalan dapat digunakan untuk membuat analisis kebijakan.",0,,
26,KECERDASAN BUATAN (AI) DAN NILAI CO-CREATION DALAM PENJUALAN B2B (BUSINESS-TO-BUSINESS),"Kemajuan berkelanjutan dalam teknologi informasi, seperti Artificial intelligence (AI), membuka peluang baru dan menarik untuk kreasi nilai bersama di antara para pelaku ekonomi. Namun, sedikit yang diketahui tentang mekanisme dan proses penciptaan nilai bersama yang dimungkinkan oleh AI. Sementara para sarjana setuju bahwa teknologi AI secara signifikan mengubah aktivitas manusia dan sumber daya manusia, saat ini kami tidak memiliki pemahaman yang memadai tentang bagaimana manusia dan teknologi AI berinteraksi dalam penciptaan nilai bersama. Ini adalah fenomena sentral yang diselidiki dalam artikel ini. Secara khusus, dengan menggunakan Service-Dominant Logic (S-DL) sebagai lensa, studi ini menyelidiki aktivitas, peran, dan sumber daya yang dipertukarkan dalam co-creation bersama nilai yang diaktifkan AI, menggunakan penciptaan kecerdasan kompetitif sebagai konteks penelitian. Analisis menunjukkan bahwa proses penciptaan bersama nilai yang diaktifkan oleh AI adalah interaksi kompleks antara aktor manusia dan non-manusia yang melakukan salah satu dari enam peran berbeda baik secara bersama-sama maupun secara independen. Artikel ini berkontribusi pada SD-L dan memberikan pemahaman yang lebih dalam tentang aktivitas ('bagaimana'), aktor ('siapa'), dan sumber daya ('apa') dalam kreasi bersama nilai yang didukung AI , dengan demikian membantu menutup celah yang teridentifikasi dalam literatur.",0,,
27,ANALISIS PERFORMANS AYAM BROILER PADA KANDANG TERTUTUP DAN KANDANG TERBUKA,"Di Indonesia para peternak ayam mengalami krisis yang diakibatkan oleh perubahan iklim global yang ekstrem dan mempengaruhi hasil produksi daging ayam. Hewan jenis unggas sangat rentan terhadap perubahan suhu yang tiba-tiba. Dibutuhkanlah suatu sistem otomatis untuk mengatur suhu kandang. Peternakan pintar atau Smart poultry farm adalah suatu konsep budidaya dengan memanfaatkan kemajuan perkembangan teknologi automasi dan komunikasi digital. Konsep ini diharapkan dapat meningkatkan produksi dan kualitas ternak.Pada penelitian ini berfokus pada pemodelan sistem kendali suhu otomatis pada smart poultry farm. Dengan menggunakan metode kontrol jaringan saraf tiruan (JST) Backpropagation, dengan metode kontrol ini sistem diharapkan mampu untuk beradaptasi dengan suhu lingkungan kandang. Dalam penelitian ini dilakukan pengujian menggunakan model JST 4 node, 8 node, dan 12 node neuron hidden layer dengan variasi iterasi 100, 1000, dan 5000 kali untuk 2, 4, 7, dan 14 level kecepatan. Pada pengujian ini didapatkan nilai hasil keluaran sistem yang mirip dengan target keluaran yaitu pada 2 tipe kecepatan output dengan iterasi ke 5000 menggunakan 12 neuron pada hidden layer dengan akurasi 93.3%.",2,,1
28,"Sistem Monitoring Peternakan Ayam Broiler 
Berbasis Internet of Things","Pada penelitian ini, kami menjelaskan sistem alat pendeteksi suhu, kelembaban dan kadar gas berbahaya pada kandang ayam. Sistem ini bekerja dengan mengirimkan informasi kondisi kualitas kadar gas amonia, gas metana, suhu dan kelembaban pada kandang ayam. Sistem ini memberikan hasil dari monitoring data gas, suhu dan kelembaban yang tidak sesuai kepada pekerja di peternakan ayam broiler. Pada sistem ini dapat dimonitoring secara flatform. Secara umum sistem ini terdiri dari sensor DHT11 dan sensor MQ135. Sensor DHT11 untuk mendeteksi suhu dan kelembaban pada kandang ayam dan sensor MQ135 untuk mendeteksi kadar gas amonia pada kandang ayam. Sistem ini berbasis Internet of Things (IoT) yang dimana pada sistem ini terhubung ke jaringan internet dengan modul ESP8266 dan mikrokontroler Arduino Mega 2560. Dari cara kerjanya untuk mengakses data sensor ke web Firebase yang kemudian ditampilkan dalam bentuk grafik sebagai sarana untuk memonitoring kandang ayam. Pengujian dilakukan dengan tiga tahap yaitu konektivitas, fungsionalitas, dan delay. Uji konektivitas membuktikan bahwa ESP8266 dapat terhubung ke Acces Point dan jaringan internet. Uji fungsionalitas membuktikan bahwa sensor dapat memonitoring gas, suhu, kelembaban dan pengambilan hasil data. Untuk pengujian dari sensor didapatkan galat baik dengan perbandingan dengan alat yang sudah distandarisasikan. Untuk galat rata–rata dari sensor suhu mencapai 1,60%, untuk sensor kelembaban mencapai 3,48%, untuk sensor berat/load cell mencapai 7,99 dan untuk sensor gas amonia MQ-135 sebesar 5,63%. Pengontrolan yang dilakukan pada sistem ini mempertahankan suhu berdasarkan set poin yang telah ditentukan. Terdapat sistem peringatan apabila suhu tidak sesuai dengan suhu ideal yang sudah ditentukan. Data dapat diakses secara real time menggunakan aplikasi smartphone.",2,,
29,Studi atas Pemanfaatan Blockchain bagi Internet of Things (IoT),"Ekosistem Internet of Things (IoT) berkembang dengan sangat cepat dan diperkirakan akan menghubungkan 5-20 miliar 
perangkat pada tahun 2020. Data yang dihimpun dari perangkat ini akan mencapai jumlah yang sangat besar. Saat ini, 
ekosistem IoT pada umumnya menggunakan model sistem terpusat. Model tersebut memiliki beberapa kelemahan, seperti 
biaya pemeliharaan yang relatif tinggi, Sistem terdistribusi dapat menjadi alternatif solusi. Blockchain, teknologi ledger 
terdistribusi, memungkinkan transaksi peer-to-peer tanpa perlu adanya perantara pihak ketiga yang terpercaya. Paper ini 
bertujuan untuk mengeksplorasi potensi pengintegrasian Blockchain ke dalam ekosistem IoT. Hasil penelitian berupa model 
dan use-case pemanfaatan Blockchain dalam IoT.",0,,
30,PENYUSUNAN ALFABET MEMBENTUK KATA MENGGUNAKAN ALGORITMA GENETIKA,Algoritma genetik adalah heuristic mencari algoritma yang didasarkan pada seleksi alam mekanisme dan sifat genetik. Konsep dasar yang menginspirasi algoritma genetik adalah bahwa teori evolusi. Kata terdiri dari abjad. Alfabet adalah seperangkat huruf atau karakter lain yang satu atau lebih bahasa yang ditulis terutama jika diatur dalam urutan adat. Dalam penelitian ini akan menggunakan algoritma genetik untuk membentuk kata berdasarkan mengetik kata. Hasil akhir dari penelitian ini adalah menampilkan kata tepat yang diketik.,0,,
31,Permasalahan Stunting dan Pencegahannya,"Masalah anak pendek (stunting) adalah salah satu permasalahan gizi yang menjadi fokus Pemerintah Indonesia, Stunting adalah status gizi yang didasarkan pada indeks PB/U atau TB/U dimana dalam standar antropometri penilaian status gizi anak, hasil pengukuran tersebut berada pada ambang batas (Z-Score) <-2 SD sampai dengan -3 SD (pendek) dan <-3 SD (sangat pendek). Stunting yang telah tejadi bila tidak diimbangi dengan catch-up growth (tumbuh kejar) mengakibatkan menurunnya pertumbuhan, masalah stunting merupakan masalah kesehatan masyarakat yang berhubungan dengan meningkatnya risiko kesakitan, kematian dan hambatan pada pertumbuhan baik motorik maupun mental. Melihat akan bahaya yang ditimbulkan akibat stunting, Pemerintah Indonesia berkomitmen menangani dan menurunkan Prevalensi stunting yang dibahas melalui rapat terbatas tentang Intervensi stunting yang di selenggarakan bersama ketua Tim Nasional Percepatan Penaggulangan Kemiskinan pada tahun 2017, bahwa pada rapat tersebut membahas tentang perlunya memperkuat koordinasi dan memperluas cakupan program yang dilakukan oleh Kementerian/Lembaga (K/L) terkait, untuk memperbaiki kualitas program guna menurunkan angka stunting disetiap wilayah yang sudah masuk kedalam desa prioritas. Dan juga untuk mengkaji kebijakan Fokus Gerakan perbaikan gizi ditujukan kepada kelompok 1000 hari pertama kehidupan, pada tatanan global disebut Scaling Up Nutrition (SUN).",3,,0
32,"PENGARUH KALISTENIK TERHADAP PENURUNAN BERAT BADAN DI STELLAR 
POWERHOUSE","Kalistenik adalah bentuk latihan dengan cara memaksimalkan penggunaan berat tubuh kita sendiri dalam 
proses membentuk otot maupun pembakaran lemak. Kalistenik memiliki fokus pada kekuatan juga ketahan pada 
otot, sedangkan jika pada gymnasium yang lebih fokus pada pembentukan otot. Ketika pembentukan otot pada 
kalistenik, dalam satu gerakan akan membutuhkan banyak otot (juga disebut compound movements). Biasanya 
olahraga memiliki kelebihan pada masing-masing latihannya, Kalistenik menjadi latihan yang tepat karena dapat 
melatih banyak otot dan berbagai gerakan yang umumnya terdapat pada ragam kegiatan olahraga. Gerakan pada 
kalistenik dapat membangun massa otot dan juga kekuatan di sekujur tubuh yang juga meningkatkan metabolisme, 
yang baik bagi kesehatan pada jantung melalui gerakan-gerakan aerobik yang juga baik untuk membakar lemak. 
Analisis ini bertujuan untuk mengetahui adanya pengaruh kalistenik terhadap penurunan berat badan member di 
Stellar Power House. Jenis penelitian yang digunakan adalah penelitian kuantitatif dengan metode deskiptif 
analisis yang menggunakan subyek 10member putri di Stellar Power House. Pengambilan data menggunakan data 
primer yang diambil langsung di Stellar Power House. Hasil analisis data selama satu bulan memiliki hasil 
signifikan dari yang paling banyak 5 kg dan yang terendah 1,4kg. YD turun 2,9 kg, STF turun 2,2 kg, MAR turun 
2,3 kg, ALI turun 5 kg, YMI turun 2 kg, SNT turun 1,4 kg, FNY turun 2,3kg, HNY turun 1,9 kg , WEI turun 4 
kg, UNG 2,3 kg. Dari data tersebut maka dapat disimpulkan bahwa terdapat penurunan berat badan member 
selama 2 bulan di Stellar Power House yang signifikan setelah latihan kalistenik.",3,,
33,Implementasi Algoritma TF-IDF Pada Pengukuran Kesamaan Dokumen,"Ukuran kemiripan dokumen adalah waktu masalah konsumsi. Jumlah dokumen yang banyak dan banyaknya halaman per dokumen menyebabkan kesamaan langkah-langkah untuk menjadi pekerjaan yang rumit dan sulit untuk dilakukan secara manual. Pada penelitian ini dibuat suatu sistem yang dapat secara otomatis mengukur kemiripan antar dokumen dibangun dengan mengimplementasikan TF-IDF. Pengukuran dilakukan terlebih dahulu membuat representasi vektor dari dokumen yang dibandingkan. Representasi vektor ini berisi bobot dari setiap term dalam dokumen. Setelah itu dihitung nilai kemiripannya menggunakan persamaan cosinus. Sistem yang sudah selesai dapat dijalankan perbandingan dokumen dalam format pdf atau word. Dokumen perbandingan dapat dilakukan dengan menggunakan semua bab dalam laporan, atau hanya beberapa bab terpilih yang dianggap signifikan. Berdasarkan percobaan dapat disimpulkan bahwa kebutuhan TF-IDF di setidaknya tiga dokumen tersedia dalam dokumen koleksi sedang diproses. Uji korelasi menunjukkan bahwa untuk dokumen dalam format pdf terdapat korelasi yang signifikan antara jumlah karakter dalam dokumen dengan waktu pengerjaan.",0,,
34,Deteksi Retinal Blood Vessel dengan metode Entropy Thresholding,"Deteksi pembuluh darah pada retina secara otomatis telah dilakukan. Metode yang digunakan adalah Entropy Thresholding. Sebanyak 40 citra yang berasal dari database DRIVE digunakan sebagai sampel. Sebagai perbandingan, ground truth yang digunakan juga berasal dari database yang sama. Operasi morfologi dan pemanfatan beberapa filter seperti average filter serta gaussian filter digunakan sebagai preprocessing untuk menekan noise dan meningkatkan kontras agar pembuluh darah mudah terdeteksi. Dari proses yang telah dilakukan, akurasi tertinggi mencapai 94.8436 %, Sensitivity tertinggi mencapai 96.9776%, dan Specificity tertinggi mencapai 86.2336 %.",0,,2
35,GAMBARAN AKTIVITAS FISIK MAHASISWA SEMESTER IV FAKULTAS KESEHATAN MASYARAKAT UNSRAT SAAT PEMBATASAN SOSIAL MASA PANDEMI COVID-19,"Generasi muda dalam hal ini mahasiswa di bidang kesehatan mempunyai peran penting dalam pembangunan bangsa Indonesia, mengingat secara demografis Indonesia akan mengalami bonus demografi atau masa emas pada rentang tahun 2020-2030. Tentunya terdapat prasyarat agar para generasi muda dapat memanfaatkan masa emas tersebut, dimana salah satu prasyaratnya ialah kondisi sehat. Kurangnya aktivitas fisik akan menjadi salah satu faktor risiko independen dalam suatu penyakit kronis yang bisa menyebabkan kematian secara global. Aktivitas fisik juga berpengaruh terhadap perubahan Indeks Massa Tubuh seseorang, kesehatan fisik mental dan spiritual seseorang, kecerdasan emosi seseorang dan kemampuan psikologis seseorang. Tujuan penelitian ini untuk mengetahui gambaran aktivitas fisik mahasiswa Fakultas Kesehatan Masyarakat UNSRAT semester IV saat pembatasan sosial masa pandemi Covid-19. Jenis penelitian ini adalah penelitian kuantitatif dengan survey deskriptif, dilaksanakan pada bulan Maret-Oktober 2020. Sampel dalam penelitian ini berjumlah 113 mahasiswa. Instrumen penelitian International Physical Activity Questionare/IPAQ dan Formulir Recall 2x24 jam. Hasil penelitian ini yaitu paling banyak responden tergolong dalam kategori sedang yaitu sebanyak 54 orang atau 47,8% kemudian diikuti oleh kategori ringan yaitu sebanyak 33 orang atau 29,2% dan paling sedikit berjumlah 26 orang atau 23,0% dalam kategori berat.",3,,
36,ANALISIS KONSUMSI MAKANAN JAJANAN TERHADAP PEMENUHAN GIZI REMAJA,"Kecukupan gizi pada remaja tergantung dari makanan yang dikonsumsi. Makanan jajanan memberikan kontribusi gizi yang nyata terhadap pemenuhan kebutuhan gizi remaja. Tujuan penelitian untuk 1). Mengetahui gambaran konsumsi makanan dan konsumsi makanan jajanan pada remaja, 2) Menganalisis tingkat kecukupan makanan jajanan terhadap pemenuhan kebutuhan gizi remaja. Desain penelitian adalah crossectional study dengan metode survey. Waktu pelaksanaan penelitian mulai bulan Juni – November 2018 dengan lokasi Universitas Negeri Medan.Populasi dalam penelitian ini adalah seluruh mahasiswa di Universitas Negeri Medan. Minimal sampel yang akan diambil berdasarkan proporsi adalah 196 orang. Untuk menghindari terjadinya pengurangan sampel, maka jumlah sampel ditambah 10 persen dari jumlah sehingga jumlah sampel menjadi 216 orang. Hasil penelitian menemukan bahwa konsumsi makanan yang mengandung kalori, protein, lemak dan karbohidrat adalah berturut-turut 1706,4 kal, 71,1 gram, 56,4 gram dan 227,5 gram. Lebih separoh sampel mengalami defisit energi tingkat berat atau konsumsi mereka kurang dari 70%. Konsumsi makanan jajanan mengandung kalori, protein, lemak dan karbohidrat adalah berturut-turut 1022,1 kalori, 39,6 gram, 32,7 gram dan 141,4 gram. Tingkat kecukupan makanan jajanan terhadap konsumsi perhari untuk kalori, protein, lemak dan karbohidrat berturut-turut 59,9%; 55,7%; 58,0% dengan rata-rata sebesar 58,9%, artinya separoh lebih konsumsi sampel diperoleh dari makanan jajanan. Hal ini disebabkan sebagian besar waktu sampel dihabiskan dikampus dan diluar rumah.",3,,
37,Desain Kontrol Kecepatan Motor Induksi Tiga Fasa Menggunakan Fuzzy Pid Berbasis Idirect Field Oriented Control,"Motor induksi tiga fasa (MITF) umumnya digunakan di berbagai aplikasi di industri karena keandalannya, biaya rendah, kontruksi kokoh, perawatan rendah, dan effisiensi yang tinggi. Namun untuk mengontrol MITF tidak semudah seperti mengontrol motor DC, karena MITF merupakan motor yang tidak linear. Penggunaan metode indirect field oriented control (IFOC) dengan kontroler fuzzy proportional integrator and derivative (FPID) dipilih untuk dapat mengatur kecepatan MITF. Metode IFOC akan membuat MITF dapat dikontrol seperti motor DC penguat terpisah. Kontroler FPID yang di desain dengan mengganti kontroler PID konvensional. Performa kontroler FPID yang di desain dibandingkan dengan kontroler PID konvensional. Performa respon yang dibandingkan seperti rise time, settling time, overshoot, steady state error, dan undershoot. Hasil simulasi yang dibuat menunjukkan bahwa dengan menggunakan kontroler FPID lebih baik dibandingkan dengan kontroler PID. Dimana respon overshoot untuk kontroler FPID 0% sedangkan kontroler PID adalah 0.23%. Begitu pula dengan respon undershoot untuk kontrol FPID adalah 2.88% sedangkan kontroler PID adalah 6.78%. Untuk respon rise time, settling time, dan steady state error tidak jauh berbeda dari kedua kontroler. Sistem yang sudah di buat disimulasikan di platform LabView.",1,,
38,"SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN 
OLAHRAGA YANG TEPAT UNTUK MENURUNKAN BERAT 
BADAN BERDASARKAN KALORI MENGGUNAKAN 
METODE PROGRAM DINAMIS","Olahraga juga sering diartikan sebagai suatu aktivitas yang melibatkan 
pengerahan tenaga fisik dan pikiran untuk melatih tubuh manusia baik secara 
jasmani maupun rohani. Pada sebagian orang tentu ingin memiliki badan yang 
proporsional dan bugar. Dan juga sebagian orang memiliki masalah dalam berat 
badan, sehingga merasa kurang proporsional dan bugar karena berat badan yang 
berlebih. Kondisi tersebut biasanya dikenal dengan obesitas. Maka diperlukan 
olahraga yang tepat dan optimal. banyak faktor yang mempengaruhi metabolisme 
dan berat badan tubuh, faktor-faktor tersebut diantaranya menjaga pola makan 
dengan defisit kalori, mengurangi stres berlebihan, bergerak aktif, tidur dengan 
teratur dan menjaga pola hidup sehat. Program Dinamis merupakan metode yang 
dapat digunakan dalam membuat sebuah keputusan dari serangkaian keputusan 
yang saling berkaitan. Dengan metode tersebut diaplikasikan kedalam penelitian 
“Pemilihan Olahraga yang Tepat untuk Menurunkan Berat Badan secara Optimal 
menggunakan Program Dinamis”. Tujuan dari penelitian ini adalah merancang 
sebuah model yang dapat memperkirakan kemungkinan terbakarnya kalori 
dalam tubuh dengan berolahraga yang efektif dan optimal. dengan melakukan 
kegiatan skipping selama 30 menit, lari selama 30 menit dan bersepeda selama 1 
jam, dengan pembakaran kalori yang didapatkan sebanyak 1250 kalori.",3,,
39,Literatur Review Bat Algorithm Terhadap Analisis Sentimen pada Lini Masa Twitter,"Algoritma metaheuristik seperti particle swarm optimization, firefly algorithm and harmony sekarang menjadi metode yang kuat untuk menyelesaikan banyak masalah optimasi yang sulit. Dalam literature review ini, kami mengusulkan suatu metode metaheuristik baru yaitu Binary Bat Algorithm atau Algoritma Kelelawar dengan Biner, hal ini didasarkan pada perilaku ekolokasi kelelawar. Kami juga berniat untuk menggabungkan keunggulan dari algoritma yang ada ke dalam algoritma kelelawar baru. Setelah perumusan terperinci dan penjelasan implementasinya, kami akan melakukannya perbandingan algoritma yang diusulkan dengan algoritma lain yang ada, termasuk genetic algorithms and particle swarm optimization. Simulasi menunjukkan bahwa algoritma yang diusulkan tampaknya jauh lebih unggul daripada algoritma lainnya, dan kedepannya studi lebih lanjut juga akan dibahas.",0,,1
40,RANCANG BANGUN SISTEM KONTROL PID UNTUK PENGENDALIAN KECEPATAN PROTOTIPE LIFT BERBASIS LABVIEW,"Lift adalah angkutan transportasi vertikal digunakan untuk memindahkan barang. Untuk minimarket atau home industry yang memiliki struktur bangunan 2 sampai 3 lantai, banyak dijumpai masih menggunakan pengkatrolan secara manual oleh tenaga manusia untuk memindahkan barang, Hal ini cukup tidak efisien. Tujuan dari penelitian ini adalah merancang dan mengatur kecepatan motor DC pada rancang bangun prototype Lift Barang menggunakan kontroler PID. Menggunakan metode Tyreus-Luyben terhadap hasil respon plant dengan menampilkan respon pada LabView 2014. Hasil dari penelitian menunjukkan bahwa Nilai parameter PID yang ditemukan dengan menggunakan metode Tyreus-Luyben yaitu didapatkan nilai Kp = 4.14, Ki = 1,727, dan Kd = 0.042. Kemudian nilai tersebut diterapkan pada sistem dan memberikan respon yang baik pada setpoint 30 Rpm dengan (td) sebesar 1,381 detik, nilai waktu naik (tr=5%-95%) sebesar 5,868 detik, nilai waktu naik (tr=10%-90%) sebesar 4,379 detik , nilai waktu tunak (ts=5%) sebesar 5.979 detik, nilai waktu tunak (ts=2%) sebesar 7,972 detik, nilai waktu tunak (ts=0,5%) sebesar 9,965 detik dan nilai error steady state sebesar 1.59%.",1,,
41,Penerapan Algoritma A* pada Pencarian Rute Terpendek pada Rute Angkot Di Kota Sukabumi,Kota Sukabumi memiliki berbagai sarana transportasi salah satunya angkutan umum kota (angkot). Jumlah trayek angkot di Kota Sukabumi saat ini sebanyak 19 dengan jalur sebanyak 20 jalur. Permasalahan yang terjadi dari jumlah trayek angkot yang ada di Kota Sukabumi yaitu bagaimana calon penumpang dapat menentukan trayek yang akan dinaiki berdasarkan rute terdekat yang dilalui angkot. Algoritma A* merupakan algoritma komputer yang menggunakan estimasi jarak dengan menggunakan pencarian jalur terdekat untuk mencapai tujuan dan memiliki fungsi heuristik yang digunakan sebagai dasar pertimbangan untuk menentukan pilihan sejumlah alternatif untuk mencapai sasaran dengan efektif. Penelitian ini mengembangkan sebuah sistem yang dapat memuat informasi trayek angkot dan dapat menghitung jarak tempuh dengan menggunakan Algoritma A*. Berdasarkan implementasi dari Algoritma A* yang diterapkan pada sistem yang berbentuk halaman situs web dengan hasil yang diperoleh dari sistem yang dibuat yaitu dapat melakukan pencarian rute terdekat pada rute angkot dan juga dapat menghitung jarak tempuh dari titik awal ke titik tujuan.,0,,
42,Gambaran Status Gizi dan Asupan Zat Gizi Makro Kelompok Lansia Rumah Senja Di Desa Jenggik Kabupaten Lombok Timur,"Pada saat ini, Indonesia menempati peringkat lima besar negara di dunia dengan jumlah lansia terbanyak. Terdapat banyak perubahan dan masalah yang terjadi pada lansia seiring dengan proses penuaan, seperti penurunan fungsi biologis, psikologis, sosial, ataupun ekonomi. Semua perubahan yang terjadi pada lansia ini tentu saja akan menjadi stressor bagi lansia dan akan mempengaruhi kesejahteraan hidup lansia. Bagi lansia pemenuhan kebutuhan gizi yang diberikan dengan baik dapat membantu dalam proses beradaptasi atau menyesuaikan diri dengan perubahan-perubahan yang dialaminya. Selain itu dapat pula menjaga kelangsungan pergantian sel-sel tubuh sehingga dapat memperpanjang usia. Kebutuhan kalori pada lansia berkurang karena berkurangnya kalori dasar dari kebutuhan fisik. Kalori dasar adalah kalori yang dibutuhkan untuk melakukan kegiatan tubuh dalam keadaan istirahat, misalnya : untuk jantung, usus, pernafasan dan ginjal. Berdasarkan hal tersebut, maka dipandang perlu untuk melakukan analisis status gizi kelompok lansia binaan Lembaga Rumah Senja di Desa Jenggik, Kecamatan Terara Kabupaten Lombok Timur. Penelitian ini menggunakan jenis penelitian deskriptif yaitu suatu metode penelitian yang dilakukan dengan tujuan utama untuk membuat gambaran tentang suatu keadaan secara objektif. Tujuan dari penelitian ini adalah untuk menganalisis status gizi kelompok lansia binaan Lembaga Rumah Senja di Desa Jenggik Kecamatan Terara Kabupaten Lombok Timur.",3,,
43,PENERAPAN MULTI LAYER PERCEPTRON DALAM ANOTASI IMAGE SECARA OTOMATIS,"Penentuan anotasi terhadap suatu image (image annotation) merupakan topik penelitian yang berkembang pesat akhir-akhir ini. Permasalahan yang ada dalam menentukan anotasi sebuah image adalah dalam hal penentuan fitur dan metode yang digunakan agar hasil anotasi yang didapat sesuai dengan yang diharapkan oleh pengguna. Dalam penelitian ini akan diimplementasikan suatu model untuk memprediksi anotasi suatu image. Penentuan fitur suatu image dilakukan dengan menggunakan metode color quantization dan multi-level wavelet transform. Dalam melakukan prediksi anotasi suatu image, dilakukan dengan mengimplementasikan metode Multi Layer Perceptron (MLP). Untuk mengevaluasi performance dari model yang diimplementasikan digunakan data image sebanyak 453. Hasil penelitian yang telah dilakukan menunjukkan bahwa tingkat akurasi untuk prediksi anotasi oleh MLP adalah sebesar 81%.",0,,
